,Country/Region,Province/State,Admin2,Combined_Key,Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Active
0,Mainland China,Anhui,,,1/22/2020 17:00,,,1,,,
1,Mainland China,Beijing,,,1/22/2020 17:00,,,14,,,
2,Mainland China,Chongqing,,,1/22/2020 17:00,,,6,,,
3,Mainland China,Fujian,,,1/22/2020 17:00,,,1,,,
4,Mainland China,Gansu,,,1/22/2020 17:00,,,,,,
5,Mainland China,Guangdong,,,1/22/2020 17:00,,,26,,,
6,Mainland China,Guangxi,,,1/22/2020 17:00,,,2,,,
7,Mainland China,Guizhou,,,1/22/2020 17:00,,,1,,,
8,Mainland China,Hainan,,,1/22/2020 17:00,,,4,,,
9,Mainland China,Hebei,,,1/22/2020 17:00,,,1,,,
10,Mainland China,Heilongjiang,,,1/22/2020 17:00,,,,,,
11,Mainland China,Henan,,,1/22/2020 17:00,,,5,,,
12,Hong Kong,Hong Kong,,,1/22/2020 17:00,,,,,,
13,Mainland China,Hubei,,,1/22/2020 17:00,,,444,17,28,
14,Mainland China,Hunan,,,1/22/2020 17:00,,,4,,,
15,Mainland China,Inner Mongolia,,,1/22/2020 17:00,,,,,,
16,Mainland China,Jiangsu,,,1/22/2020 17:00,,,1,,,
17,Mainland China,Jiangxi,,,1/22/2020 17:00,,,2,,,
18,Mainland China,Jilin,,,1/22/2020 17:00,,,,,,
19,Mainland China,Liaoning,,,1/22/2020 17:00,,,2,,,
20,Macau,Macau,,,1/22/2020 17:00,,,1,,,
21,Mainland China,Ningxia,,,1/22/2020 17:00,,,1,,,
22,Mainland China,Qinghai,,,1/22/2020 17:00,,,,,,
23,Mainland China,Shaanxi,,,1/22/2020 17:00,,,,,,
24,Mainland China,Shandong,,,1/22/2020 17:00,,,2,,,
25,Mainland China,Shanghai,,,1/22/2020 17:00,,,9,,,
26,Mainland China,Shanxi,,,1/22/2020 17:00,,,1,,,
27,Mainland China,Sichuan,,,1/22/2020 17:00,,,5,,,
28,Taiwan,Taiwan,,,1/22/2020 17:00,,,1,,,
29,Mainland China,Tianjin,,,1/22/2020 17:00,,,4,,,
30,Mainland China,Tibet,,,1/22/2020 17:00,,,,,,
31,US,Washington,,,1/22/2020 17:00,,,1,,,
32,Mainland China,Xinjiang,,,1/22/2020 17:00,,,,,,
33,Mainland China,Yunnan,,,1/22/2020 17:00,,,1,,,
34,Mainland China,Zhejiang,,,1/22/2020 17:00,,,10,,,
35,Japan,,,,1/22/2020 17:00,,,2,,,
36,Thailand,,,,1/22/2020 17:00,,,2,,,
37,South Korea,,,,1/22/2020 17:00,,,1,,,
38,Mainland China,Anhui,,,1/23/2020 17:00,,,9,,,
39,Mainland China,Beijing,,,1/23/2020 17:00,,,22,,,
40,Mainland China,Chongqing,,,1/23/2020 17:00,,,9,,,
41,Mainland China,Fujian,,,1/23/2020 17:00,,,5,,,
42,Mainland China,Gansu,,,1/23/2020 17:00,,,2,,,
43,Mainland China,Guangdong,,,1/23/2020 17:00,,,32,,2,
44,Mainland China,Guangxi,,,1/23/2020 17:00,,,5,,,
45,Mainland China,Guizhou,,,1/23/2020 17:00,,,3,,,
46,Mainland China,Hainan,,,1/23/2020 17:00,,,5,,,
47,Mainland China,Hebei,,,1/23/2020 17:00,,,1,1,,
48,Mainland China,Heilongjiang,,,1/23/2020 17:00,,,2,,,
49,Mainland China,Henan,,,1/23/2020 17:00,,,5,,,
50,Hong Kong,Hong Kong,,,1/23/2020 17:00,,,2,,,
51,Mainland China,Hubei,,,1/23/2020 17:00,,,444,17,28,
52,Mainland China,Hunan,,,1/23/2020 17:00,,,9,,,
